w_id	word	Chechen	ZH..АЗ.Azerbaijani	ZI..KU..Kumyk	ZJ..KT..Kumyk_Kajtag_Tumenler	A..АВЧД.Avar..Chadakolob.	B..АНД.Andi		C..АХВ.Akhvakh	D..ЧАМ.Chamalal	E..ЧАМГ.Chamalal..Gigatli.	F..ТИНД.Tindi	G..ИНХ.Inkhokwari	H..ЦЕЗ.Tsez	I..ГИН.Hinuq	J..БЕЖТ.Bezhta..Tladal.	K..БЕЖХ.Bezhta..Khoshar.Khota.	L..ГУНЗ.Hunzib	M..ЛАК.Lak	N..ДАРЧ.Chirag.Dargwa	O..АРЧ.Archi	P..ТАБД.Tabasaran..Dyubek.	Q..ТАБК.Tabasaran..Kondik.	R..АГБЩ.Agul..Burshag.	S..АГРИ.Agul..Richa.	T..АГБХ.Agul..Burkikhan.	U..АГФИ.Agul..Fite.	V..АГТП.Agul..Tpig.	W..ЛЕЗХ.Lezgian..Khlyut.	X..РУТЛ.Rutul..Luchek.	ZA..ЦАХ.Tsakhur..Mikik.	ZB..ЦАХГ.Tsakhur..Helmets.	ZC..ЦАХЦ.Tsakhur..Tsakhur.	ZD..КРЫЗ.Kryz	ZE..БУД.Budugh	ZF..ХИН.Khinalug	ZG..УД.Udi
51	ПЯТКА	к1ажа	дабан	табан	тавбан	eRél	miža/HF		seqa/H	mah/H	máhi/H	miža	hude/HL	Xaza	hiži	ǟč'ö/RLM	äč'ö	ãč'u	niq̄a	č'aIp'úl	s̄̌ik'˳	s̊áq'a/R	s̊aq'I	q'Iuš	q'˳Iaš	ˀaš	q'˳eš	NA	dabán	kaw	mɨq'Ilɨ/H	muq'Ile	muq'Iule	daban	sɨs	K'uc̄̌c̄̌í	daban
52	КОЛЕНО	гола	диз	тобукъ	тизгоьз	náku	nik˳olluLi q'innil		muq'u/R	nik˳al/HL	nikál/LH	niku	gurtu/RL	q'Iontu	q'ontu, bečnu	ãga/M	aga	mična	nik˳	q'úq'a	PoImp	q'ámq'a/H	q'amq'	q'uq'	q'˳aq'˳	q'uq'	q'˳aq'˳	NA	met	q'˳aq'	q'araca/H	NA	q'araca	pip	pep	nik	k̃aIk̃aIp̃
53	ПАЛЕЦ	п1елг	бармаг	бармакъ	бармакъ	gilís	c̄'ek'a/HF		ũk'a/RL	ƚec'il/LH	ƚezíl/LH	mik'ya	t'u/F	baša	ƚiL'i	zoL'o/HM	zoL'o	zǝL'ǝ	K'is̄a	t'ul, k̄amúl	gon	t'uw/H, murkúl/H	t'ub, murkíl	t'u, kulúm	t'ub, kumúl	t'u, kamúl	t'ub, kumúl	NA	t'ɨb, kul	t'ilí, kɨlí	t'ub/R	NA	t'ɨb	t'il	t'il	ist̃ál, qinč	k̃äšä
54	НОГОТЬ	м1ара	дырнаг	тырнакъ	тирнакъ	mat	muƚa/L		miLo/L	ƚum/L	ƚũj/L	miƚu	monu/HL	moIƚu	moƚu	miƚo/M	miƚo	mɵlu	mix	méka	L'ont'ól	šaw/R	šib	kirík	kirk, qIamž	kerk˳	kirk	NA	kek	xeb	xɨwna/LR	xɨbɨna	xɨnt'a	mič'ěk	dɨrnaR	čimí	muX
55	КОПЫТО	б1арг	дырнаг	туякъ	туякъ	mat	ƚol/L		s̄̌ik'i/HF	ƚal/L	ƚũj	ƚali	qošo/L	bula	bula	NA	miƚo	melu	mix	q̄uc̄	č'imíč'	šárk'a/F	širk'˳	q˳̄arc̄	q̄˳ac̄, muskél	q̄˳ac̄	q̄˳ac̄, kušmúl	NA	kek	k'˳arč	k'orč/R	k'˳arč	k'orč	mič'ěk	dɨrnaR	dɨrnaR	NA
56	СЕРДЦЕ	дог	үрәк	юрек	юрек	raK'	rok'˳o/LH		rak'˳a/R	jak'˳a/L	rak'á/L	rak'˳a	lok'o/RH	rok'u	rok'e	rak'o/RLM	rak'o	rɵk'u	q̄Iuk'	ú̩rč 'e	ik'˳	júk'u/F	juk'	jirk'˳	NA	irk'˳	jirk'˳	NA	rik'	jik'y	jik'y/F	NA	jik'y	jik'	jɨk'	ung	uk̃ || ük̃
57	ЛЕГКОЕ	пах	ағ ҹијәр	оьпке	акъ бовур	NA	Xuns̄ir/HF		Xũs̄e/HL	Xus̄i/HF	Xuns̄ír/HF	X̄uns̄ar	het'on/HL	Xot'ori	hit'ore	pirt'i/ML	pirt'i	pɨrt'i	hutru	qusára	Xut̄úrt̄i	Rurdíl/R	Rurdíl	Xurdúl	NA	NA	Xudúl	NA	žigér	Xudúl	oIpke/HL	OIpkä	oIpka	läzi läHkän	luzu läq'	xɨrɨ́c' bijár	mac̃i papaš
58	ПЕЧЕНЬ	до1ахк	гараҹијәр	бавур	къора бовур	t'ul	reliLi/HHL		riL'eL̄i/HRL	jelaL/L	relláL/H	relaL || releL	žubu/L	žubi	žubo	šebö/ML	šebo	šebu	t̄ilik'	dilák'	dilík'	lík'i/F	k'arú-lik'	lek'	lek'y	lek'y	lik'y	NA	liq'	laq'	k'ɨlyk'am/HL	q'alq'am	k'ɨlyk'am	läHä läHkän	läq'	mič'ä-bijár	maIjin papaš
59	СЕЛЕЗЕНКА	ˤонжар	далаг	талакъ	талакъ	q'ec'	bak ̥ˈolulas̄i/HL		čeq̄'i/HF	bašun-č'iq'/HL-L	NA	č'iq'i	č'iq'i/HL	bock'ori	boc'e	bac'kil/ML	bac'o	bɵc'ǝ	q'uč'	ziláz	žan	ʒilírʒi/H	Xaládada	zuléz, zulérz	z˳eléz	züléz	zulúz	NA	c̃iláz	zilíz	zɨlzam/H	zalzam	zɨlzam	begil läHkän	tuXul	q'iläd	zizam
60	почка	жим	бөјрәк	бюйрек	гьурцІецІ	k'ut'úli	k̄'unu/L		ešas̄e/HL	k'ũ:/L	k'ũj/L	k̄ũ	gɨndor/LH	gendori	kubo	koma/H	koma	koma	c̄̌arlu	k'ut'úm	g˳at	gurdím/H	gurǯím	k'ult'úm	(funí) gut'úl	funi-gut'áj	gurǯúm	NA	t˳k'un	k'ut'ún	k'ut'un/H	k'ut'uny	k'ut'un	k'˳at'in	k'ut'un	c'ic'ín	gurdak̃
61	ЖЕЛУДОК	гаьг	мәдә	ашкъазан, къурсакъ, къарын	ашкъазан	kuníl roq', čex, úhri-meš	iX˳ob, R˳aP˳ači/HHL		ba ̥ˈali/HHL, reka/RL	ũXsil/H, X̄inta/L	ũXc'ir/L, Xunc'á/H, X̄intá/L	beL'u, X̄inta	hač ̥ˈa-hala/HL-HL, ãX/P	aX	aX	ãX/L, õX/H	aX, oX	ãX	laq'Ia	k'últ'a, dárk˳maX̄	kummúllin noL', lági, XIurXIú	fun/H	fun, RIan	šax̄, fun, Řan	q̄arfún, fun, Řan	šix, q̄arfún, fun, Řan	q̄arfún, fun, RIan, šix	NA	rɨfɨ́n	uxún, iči	xuxun || wuxɨn/HL, we:ǧ/R, ič'alat/H	uxuny, wɨjag, ič'alat	wuxun, wijag, ič'alat	mäʕdä, fän	GursaR, təpən, fɨnʕaǯ	mic̄̌í, šax	mä:da, tapan
62	СЫЧУГ	шо	гурсаг (ширдан)	ширдан	ширдан	Hut	boL'i/L		biL̄'i/L	beL ̥ˈ/L	reL'ú/L	beL'u	beL/H	biL	biL	beL/M	beL	beL	č'u:	za	c'omó	ǯulǯá/H	ǯulǯám	NA	NA	uráj	Rarí	NA	giráw	ǧɨrɨǧ	širdan/LH	[same]	širdan	GursaR	GursaR-maja	qursáR	NA
63	КИШКИ	чуьйраш	бағырсаглар	ичеклер	ичеклер	baL'	ručol/HL		baL̄'i/HL	s'iq ̥ˈa/L, baL'/H	c'íq'a/L, báL'i/HL	cik̄˳a, baL'i	c'ik ̥ˈa/LH	č'aRIro, Homow	inaXu, homoju	č'ič'iX/ML, baLa/M	c'ic'iX, baLa	č'ič'ix, bete	X̄Iut̄u, q˳ata	rut̄	babL ̥ˈ, páIrt'i	rüj/H	udár	rur	NA	rud	rud, eXIá-rud	NA	rad	rud	wur/H	wɨr	wur	ʕin	ʕin, məʕdə	č'ɨk'ɨ́ld	gödän
64	ПИЩЕВОД	къамкъарг	гида борусу	хырдан	NA	NA	c̄ula/L		c̄uri/L	NA	curaLí/L	cola	cula/L	k'es	šeq'er	röčöt'/H	ricot'	rɨs	c'un	NA	tus̄í	düt'ü	q'aq'náXI	s̄ür	q'urq'án rud	surs	NA	NA	irí-rad	lɨs	syurtuli/H	č'arany vɨr	syurtuli	iri ʕin, ʕalʕali	ʕaljuc'u	c̄ɨmá č'ɨk'íld	q̃ari-q̃oq̃
65	КРОВЕНОСНЫЙ СОСУД	пха	ган дамары	къантамур	къантамур	sak', bídul rix	s̄̌ek'i/HL		s̄e/L || s̄eri/L, hĩL̄i huli/LL RL	s̄e:/L, e:/L pul/L	s̄e/L, pul/L	s̄̌ek'ya, pula	Xɨlo/HL, muša/H	Xero, miša	Xela, biša	Xila/ML, pi/RL	Xila, pi	Xɨlə, pə	x̄˳a, tundu	tum, bá:Ila tum	dam, buX, tenné	taw/H	tab	taw, čarč	tab, iʔín dam, c̄̌˳aIrc̄̌	taw, ǯar	tab	NA	tab, dam	tab, damár	damar/H	[same]	damar	damar	damar	damár	t̃amar
66	КОСТЬ	даьахк	сүмүк	сюек	суьек	raL'á	roL'i/HL, toms̄̌il/HL		raL̄'i/HL, ĩk̄'u/RL, ruq̄e/HL	jaL'il/HL, nas̄ul/L	ráL'il/HL	raL'i	lozol/L, mucu/HL	q˳ˡIaq'Iu, Luza, žibra	Lužej, q'aq'u, žibra	Lörä/ML	Lörä	lõra	t̄ark', lic̄̌a, baIrh, lins	derg, nik̄a, diríc'	lék̄i, bárs̄on	jírk̄i/H	k'uráb	jirk̄, c'ul	irk̄, k'ac'	irk̄, ic'úl	irk̄, k'ará-b, ic'úl	NA	k'rab, c'ɨm, k̃˳arg	q'ɨrɨ́b, gɨrɨ́c', g˳arg	bark˳ˡ/H, c'om/H, zink', sini	NA	bark˳ˡ, c'om	k'äräp', mäsir, zink', sini, bek'	k'erep', GabarRa	ink', q̃ábɨrRa	uq̃Ien, t̃ok̃ mašIa
67	СУСТАВ	хоттaр	ојнаг	бувун	бувун	hod	s̄̌ink'i/HL, rič'in/H		rac'i/HF	NA	rázil/RL	rac'al	rac'c'al/H	k'ak'a	NA	hod/M	hod	hod	bazu	dík're	dáIzi	dühéw/F	dihib || dihéb	jic'úl	ic'úl	duHú	dürhǘb	NA	c̄̌alRá	jɨc'ɨ́n	aIhna/HL	NA	aIhna	buRum	bənd	K'uk'á	NA
68	ХРЯЩ	чохчам	гығырдаг	гемик	гемик	tamáHab raL'á	c'il/L		čaq̄'u/RL	č'aXma/HL	č'aXma/HL	č'anq'u	qorčin/HL	k'ik'ilbo	k'ek'elba || k'ek'erba	rizzo Lörä/LM-ML	rizjo Lörä	q'esq'esu	q'ans̄i	q'ams̄	bérq'əla	q'uc'q'úc'u/R	q'uc'múc'	NA	q'alq'ámaš	NA	q'amq'áš	NA	č'aXč'áX	xɨt	xɨty/H	NA	xɨty	č'iXč'iXi	XutXut	č'aXč'aXɨ́	qɨrɨšIqal
69	ШКУРА МЕЛКОКОПЫТНОГО	ц1ока	дәри (кожа)	тери	тери	c'okó	Xuca/L, c̄'uku/H		Roča/HL, c̄'oko/H	Xoša/L, boč/L	qučá/L, bučí/L	Roča, coka	hẽše/HL, qIoLu/HL	Hoši, okša	X˳iši || Xuši	Räše/M, qäLö/ML	Räše	mɵgɵ, qɵLu	lu, c'ukuls̄a	k̄úle	q'onq', k'enc'	q'ijíq'i/H	Riǯíq	q'iríq'	q'Iadíq'I, Xam	q'aréq'	q'adéq'	NA	qciq'	q'ɨdɨ́q'	Rek˳a/HL	Rek˳a	Gek˳a	ʕič, q'äräǯ	ʕič	k'ir	t̃ol
70	ШКУРА КРУПНОКОПЫТНОГО	ц1ока	тери	тери	тери	t'om	bak ̥ˈol/H		X̄ura/HL	bak ̥ˈal/L	Ras̄í/L	bak ̥ˈal	qIoLu	bik	bik	beš/M	bes	beš	burču	dik ̥ˈá	siRrí, ilí	líʔi/F	leʔ	laʔ	leʔ	leʔ	leʔ	NA	liʔ	liʔ	lek ̥ˈa/HL	NA	lek ̥ˈa	leʕ || lěʕ	läʕ	k'ir	t̃ol
71	ШЕРСТЬ ОВЕЧЬЯ	т1арг1а	јун, јун парча	юн	шал къумач	č'irá, k˳aš	Xurši/HL, miXi/HL		Rari/HL, miXe/HL	Rarã/LH, muX/L	Rarán/LH, muXú/L	Raram, miXa	Rorone/HL, hõs/F	Roroni, his	Roroni, ƚus	jöRin/L, ƚu/M	roRin, ƚu	roRin, ƚũ	p̄al	NA	oƚ	xaj/H	xa	s̄̌ị	xej	NA	xej	NA	japáX, jɨs	arXI, dɨn	xa/H, arXI/H	NA	xa, arXI	jis	jiz	Kxa	Xa
72	ШЕРСТЬ КОЗЬЯ		кечи јүнү	эчки юн	NA	rac'	NA		NA	čalaXa/L	čaláXa/L	čalaXa	čalaXe/HL	RIit'a	bolon	räč/FL	räč	rɵč	Ral	derz	ic'	č'ar-ár	NA	NA	č'ar	NA	NA	NA	č'ar-ár	č'ar	jis/H	NA	jis	č'ěr	č'er	bɨz	pop
73	ВОЛОС	чоьш	сач (түк)	тюк	тук	raš, sab	ƚin/L		kari/L, Roso/H	ča:/L, mič'a/H	čaj/L, míč'a/H	kyara, mič'a	kõ/R, kode/HL	mus, kodi	mus, čud	kerä/L, müč'/M	kera, müč'	kera	č'arǎ:, k ̥ˈiz	derz	č'á:l-ri	č'ar/L, kuš/H	č'ar, kuš	č'ar	č'ar	č'ar	č'ar	NA	č'ar	č'ar	č'er/HL	č'ar	č'ar	č'ěr	č'er	č'ar, pɨt	pop
74	ПРИЧЕСКА МУЖСКАЯ		сач дүзүмү	лепеке	лепеке, причёска	gočór	bočiči/HL		buhura/HHF	k'ožul/L	Rusú/L	k'uč	kode	kočori	kočori	köčöri/M	köčöri	kočori || gočori	s̄ǎ:č, q'anča	maIg	q'am	Xač/H	Xač	maIg˳	maIgy	maIgy	meigy	NA	meg	meg	kekily/H	kekily	kekily, sač	gup	Xač	c̃̌ɨRá	käkül
75	КОСА ЖЕНСКАЯ	к1ажар	һөрүк	чач	чач	Ral	harL'u/HF		baL̄'i	baL'	báL'i	q ̥ˈat'i	q'ama	žežu	žežu	NA	miR	muč'	haIldu	q'áma	q'amát̄en gák̄i	k'arč	k'arč	kuč	kuč	kuč	kuč	NA	küš	q'ámč'el	q'amč'ele/H, baIrt/H	q'amč'elä, baIrt	q'amč'ele, baIrt	č'iq'	söXürü kuč	pšild	ušIk̃un
76	петушиный гребень	т1илд	пипик	таракъ	таракъ	h˳ar	q'amu/H		k'ut'i/L, q̄'ama/HL	q'ama/H	q'áma/HL	q'ama	q'ama/HL	ešu	ešu	kuckuci/M	kik	kuc	hiIc̄̌u	ʕaImʕám	q'am	ráGIa/H	raRiráRI	ʕawʕáw	badbád	bazbáz	p̄azp̄áz	NA	pent'	q'ɨk	(dadalɨn) bibi:/H	därs	dars	bibik	pipig	bibíg || pipíg	dadalin k̃at̃ar || bibik
77	ГРИВА ЛОШАДИ	кхес	јал	ял	ял	kart	jal/L		L̄'urus̄i/HHL	muL'ur/LH	anč/H	muL'ur	ču:/L	ešu	ešu	žärö/M	žärö	žɵru	q'amǎ:	kur	q'am	haIjwunín kušár	haIjwnín kušár	NA	NA	pud	NA	NA	firí	čixár	jalban/H	jalman	jalban	gäm	jal	jalkán	jalman
78	БОРОДА	маж	саггал	сакъал	сакъал	megéž	migažu/L		mižeL̄u/HRH	mizat ̥ˈ/L	mizat'ú/L	mižatu	bišandu/LH	kot'u	kot'u, bab	bab/M	bab	bilažba, bab	č'iri	muc'úr	moč'ór	miǯrí/R	muǯrí || mužrí	muǯúr	mužúr	NA	muǯúr	NA	čirí	mɨč'rí	saq̄al/HL, muč'rɨ/HR	[same, one]	saq̄al, muč'ru	ǯiri	mič'er	mic̄̌ä́š	saq̃q̃al, k̃äžuX
79	УСЫ	мекх	бығ	мыйыкъ	мийикъ	miq || niq	miqi/LH		miq̄a/RL	mijaq˳/LH	míqu/LH	k̄ũ	k'ũ/F	mešolga	bošol-k'a	bižälbä/M	bizalba	niqal	s̄irs̄ilu	s̄ipíl	s̄írs̄an	sumpúl/H	sumpíl	sulpén	supél	süpél	sipíl	NA	spil	supél || süpél	biR/F	sibely	biR	sibel	bäR	biR	biR || bɨR
80	ПЕРО	баркъ	ләләк	къанат	къув	mitír	ƚiru		Huli/HL	ča:	čaj	ƚiru	pɨrtɨn/H	bumbuli	bumbuli	pudo/MR	pudo	pode	q̄u	p̄azé	cal	Rik/H, zik/H	c̄ik˳	purc'	pinc'	purc' || murc'	murc'	NA	č˳k˳ál	maqIáqI	kukra/HL	wɨsɨn	kukra	k˳ak	Ganat	läläg	q̃änäd
81	КРЫЛО	т1ам	ганад	къанат	къанат	ʕarL'él	ƚiru/R		ƚiro/R	ƚimaraL/L	ƚerú/L	ƚiru	lilu/HL	lel	laba	habo/M	habo	habu	qa	kusála	cal	Xilímc̄i/H	Xlinc̄	Xir	XIar	Xilín q'aw	Xilín q'ab	NA	lɨw	Ganát	Ganat/HL	Ganat	Ganat	Gänät	Ganǝt	q̃änä́d	q̃änäd
82	РОГ	ма1а	бујнуз	мююз	муьюз	Lar	G˳on/F		ak'at'i/HHL	č'am/L	č'ámú/L	K'yama	šelu/R	šilu	tama	šelö/ML	šelo	šelu	q'i	qe	bat	k'arč/H	k'ərč	k'arč	k'arč	NA	k'arč	NA	karč	kač	gač/H	NA	gač	käč	kərč	väč	muq̃Ia
83	ПРЫЩ	сурх	сызанаг	чыгъыв, бюртюк	чигъив	piL'	NA		čũq̄i/RL	R˳ar/H	Rorára/H	R˳aR˳ara	cek ̥ˈa/HL	cak̥ˈ a	cek ̥ˈa	momola/M	momola	momla	t'inx	bírsa-xubán	t'inƚ	t'urk̄ál/F	t'urk'ál	gurụ́	kurkúr	gar	t'ur	NA	t'ur	t'ur	t'ur/H	NA	t'ur	t'ɨr, suzänäX	sɨzaR	c'u	t̃up̃ul
84	ЧИРЕЙ, НАРЫВ		чибан	сызлавукъ	сизлавукъ	q'áRliž	c̄'akara/L		X̄ut'i/L,	bulaL/L	beKuLi sančára/L-L	NA	himon/HL	reL-q'iq'a	NA	hũk'-aro/LM	huk'aro	hõk'or	pic'u	c̄̌ạmúž, úbic'iban	ƚ̄érunk'ul	amRIál/H, s̊umác'a/H, Xac/H	amRIál, s̊mac', Xac	aXsáj	át̄uč'uf	aXsáj	asqú	NA	heš˳él	gírXɨd	k'ɨbɨč'i:/H	NA	maš	gɨrgɨr	k'up'	capɨ́R	meIlum
85	РАНА	чов	јара, хора	яра	яра	roRón	ruRun/HF		dĩRi/HL, ruRu/HL	ãƚ̄a/H	ãƚ̄a/H	anƚ̄a	oXo/L	raqI	laq	õXo/M	oXo, läq	ãXu	s̄̌abu	dáqIa	s̄̌áIbi	ziján/H	ziján	arHún	NA	jarHún	ziján	NA	Xär	jará, j́́ɨ́XÍ́ɨ́n	jara/LF, oXIna/HL	[same]	jara, oXIna	Xɨr	jere	arám	jara
86	МЕТКА НА УХЕ ОВЦЫ	х1ост	дамға ?	гьарзи	гьарзи	ʕuž	anži/HL		ãži/HL	ãz/H	anzí/H	anži	ãše/HL	ra, medo	req'a, mad	ä̃ž/FL	äž	ẽž	aIš	NA	eIč	míǯi/R	lišín	išán	irž	irǯ	lišán	NA	erž	iǯ	iž/L	NA	iž	in	NA	nišá:n	NA
87	МОЗГ ГОЛОВНОЙ	хье	бејин	мий, башмай	магьа	ʕadámaHu || ʕadánaHu	honu/HL		hani/L	han/L	háni/L	hani	ạta/L	NA	ata	ʕädä/M	ädä	ãda	na:I	NA	iIntímmaj, maj	máʔa/R, XIul	máʔa/R	Hut	NA	mas̄̌˳	mas̄̌˳	NA	kčeh, másq'ɨm	majé, hedíj	maIh/H	NA	maIh	bejin, ilig	t'əšt'	nüš	maI
88	СПЕРМА	оралла	мәни (сперма)	шагьват, эркек урлукъ	шагьват	reH	šen/L		nix̄i/L	šawat/L	nás̄i/L	Hẽz	baIRan/L	riH	reH	mani/L	mani	šorba, mani	maja	NA	ƚ̄˳in	c'amá/L	majá	majá	majá	majá, Haz	majá	NA	majá	majé	maje/L	maje	maje || majde	nužit'	maje	Häš	cip̃un
89	КРОВЬ	ц1ий	ган	къан	къан	bi	hin/F		hini/L || hĩ:/L	e:/L	hirí/L	heri	ẽq'o/HL	e	i:	hẽ/FL	hẽ	hãj	uI || uIt̄u	ba:I	bi	iw í/H	ifí	i	NA	iʔ	iʔ	NA	ewí	ébɨr	eb/H	ebi	eb	iräǯ	ird	p'i	p̃i
90	ПОТ	хьацар	тәр	тер	тер	ʕet'	honnoX̄ir/HHL		ãL'a/RH	hana/L	hanná/L	hanla	oRRodo/H	eredi	eR˳ada	hãd/L	hãd	hɵ̃d	huq	mága	amk'	ámk'a/H	amk'	ʡank ̥ˈ	emk'y	ŘamK'y || ʕamk'y	emk'y	NA	häq'	šin	šɨn/HL	šiny	šin	ʕaq'	aq'	aráR	ãp
91	ГНОЙ	нот1г1а	ирин	ирин	ирин	réc'i	loX˳o/L		rec̄'i/RL	a:/L	aXá/L	X̄˳a:r	hãc'c'i/HL	ƚač'i	ƚamač'i	žöž/M, kitä/L	žöž, kita	žãč	lal	NA	s̄in	č'irúw/R	barXún	NA	NA	balXún	barXún	NA	Rura	irín	maš/L	NA	maš	irin	irin	irín	mar
92	выделения из глаз	мокъа	пиҹалаг	гёзден агъым	гоздан агъим	Hec'	NA		Hebec̄'o/HHL	s'us'ura/R	c'uc'úk'a/HHR	becura	atXa/HL	atHa	aXLu	NA	maq'o	hatXa	p'aIlc'a	NA	č'áIp'i	búlq'Iu/H	burq'I	p'aʡ, maIš|| maIrš	p'aIr, maIš	p'aIr	p'aIr	NA	šimX	menč	č'uq'I/L	p'älč'	č'uq'I	č'äq'	č'uq'	(pte) miq	c̃up̃urut̃
93	СЛЕЗА	б1аьрхи	ҝөз јашы	гёзьяш	гоьзъяш	máʕu	moGo/H		maq'a/R	ma:/L	maj/L	ma:	moq'u/HL	mow	moq'u	maq'o/LM	maq'o	mɵq'u	maq'	NA	nabq	nípGi/H	niwq̄	naIw	neR˳	neR˳	nibR˳	NA	naR˳	naR˳	naR/H	nyaR	naR	ʕüli xäd	ʕülüǯ xəd	pte xu	neR
94	СЛЮНА	шат	түпүрҹәк	тюкюрюк	тукурук	k˳ˈínt'i	toto/L		ac̄'i/RL	has'/H	Xac'í/H	ƚaci	jöcu/HL	nocu	jocu	q'ica, näčö/L	jäčö, q'ica	jɵ̃cu || jɵcu	xuIrx, s̄̌iImp'i	tu	tút'i, XIerXI	šurš/R	šurš/R, tṷtú	šiš, tutúf	xirxy, tutú	xirxy, tutú	xirxy, tütü	NA	cøk'ün	rixy, tu	rɨIh/L, tyu/H	NA	rixy, tyu	rěR, Xit'	Xit'	näʕnä́	gerec̃
95	СОПЛИ	марш	фыртыг	йылавукъ, бурунпокъ	бурнупокъ	ʕincí	maču/HF		X̄ẽt'e/HL	maš/L	mačí/L	maši	XẽL'/H	HeL'	Xido	Xidä/M	Xida	Xɨdə	uInc'	xirxír, q̄Iunt'	muIl	qIúnt'u/R	maRá	qIunt'	qIunt'	qünt'	qIunt'	NA	k˳ˈac'	qIɨmɨ́t'	qIɨmɨt'/H, suInt'/R	qIɨmɨt', suInt'	qIɨmɨt'	šimit'	šimit'	Xɨnt'	filt̃p̃un
96	КОЗЯВКА	мокъа	гурумуш селик???	бурунпокъ	бурнупокъ	NA	GenGe/H		čuq̄i/HL	q'aq'ara/H	bat'áq'a/H	q'aq'ara	mašara/H	hur	NA	L'ep'ä/MH	L'ep'a	bət'i	qanqa	marčála	qupún	dunsíl/R	luk	k'as̄̌	k'as̄̌	q'al	k'aš	NA	q'aq'	k'ɨr	NA	NA	qIɨmɨt'	NA	šimit'	vɨž	NA
97	ЖЕЛЧЬ	сим	өд	оьт	от	cim	s̄im/F		s̄imi/R	s̄im/H	s̄ími/H	s̄imi	sime/LH	semi	seme, cim	sim/RL	simo	simi	s̄i	NA	s̄am	GarX/H	siw/H	sew	seb	sew	sib	NA	k˳ˈezér, seb	safráj	oId/H	[same]	oId	zěfrä	jüd || üd	zäHfärä́	öd
98	МОЧА	чиш	сидик	сийдик	сийдик	k'us	hink̄'ur/H		čak̄'i/HF	hek˳ˈ/H	hĩk'ú/HR	raƚa	aqIu/HL	ʕaqIu	aq˳e	cima/ML	cima	cumo	k'us̄̌a-lu	NA	cor	ʒ̊ur/R	ʒ̊ur	zur	zur	NA	zur	NA	c̃˳ar	zur	zej/RL	zojä	zej	ʒɨr || zɨr	zire	k'ä	c̄̌išp̃un
99	КАЛ	бид	нәҹис	ярав	покъ	R˳es	q˳olo/H		hara/HL	bat'a/H	bat'á/H	unX̄i	beda/H	baILaHu	balaXu	sar/M	sar	sãr || sar	uIt	pat̄á	gip	neǯés/H, c̊uq̄Iúr/H	neǯés, c̊ṷq̄Iúr	cuX	ʕuj	neǯás, ʡüj	arX˳	NA	pɨX	XIɨn	XIɨn/HL	NA	XIɨn	gulur	Hure	k'ɨč	k̃aIm
100	КАЛ ЖИДКИЙ	нир	дуру нәҹис	сувлу ярав	ичи гете	c'˳et'	riX̄ir/L		íX̄u/L	s'et/H	c'eti/H	beja	kučnu/HL	reXel	reXel || riXel	puXi/M	puXi	riXil	c̄iX	NA	púrXəla, purX	cuX/H	ciX	q̄urq̄úr	NA	arX˳	t'urt'úr	NA	c̄ilí	piX	t'ɨrt'ɨr/H	arX˳	t'ɨrt'ɨr	q'iriq'	q'iriq'	inké k'war	tɨrɨstɨn
101	ПОМЕТ КОРОВЫ	кху	пејин	сыйыр ярав	инек покъ	Hat', xil	čil/L, k'ik'im/H, t'ebt'el/L		šili/HL, Hūc̄̌'e/R, kila/L	bus̄i/L, muč'a/L, čila || čilla/H	L'ēX̄a/HL, muč'á/L, čilá/L	hili, muč'a, R˳ara, mat'a	hili/LH, bušar/LH, muč'a/LH, mat'a/HL, tira/LH	žent'u, šokori, L'oIp'oI	L'op'o	tär/L, muXsa/M	muq'sa	ɫar, šimori, šɵkɵri, təq	s̄̌ulu, qut, pili	raq'Iráq'Ian, duRú	k'urč	GilGíl/R, c̊uq̄Iúr	RirRíl, с̊uq̄Iur	baIt'át'aj, p̄ap̄	ʕulʕán, pust', bux	gamrá, q̄üšq̄˳él, paIt̄	pap, palúsaj	NA	c'jmíl, c'ap, fid, t'änq'	k'ek'ély, gamré, čúxan, miq', paq, kɨc, XIɨn	xidy/L	NA	xid	c'imel, k'elk'et', xid, t'eʕ || t'ěʕ, k'äč'ě	sɨnnər, šuq'ur, xid, K'ič'äʡ, kemeč	mɨt'ɨ́r, pi, ni, K'ɨč	t̃ɨRɨr, pejin, p̃urc̃
102	ОТЕЦ	дай	ата	ата	ата	dedé	ima/HL, dada/H		ima/HL, dada/H	ima/HL, dad/H	íma/HL, dádi/HL	ima	obu/HL, dada/H	babju, babi	obu	abo/L	abo	ɵbu	but̄a, p̄u	ac̄áj, dát̄e	ábt̄u, dijá	agáj/H	daší, gagá	gag	dad, c̃̌uc̃̌ú	dar, c̃̌uc̃̌ú	gagá	NA	babá	did, dédej	daky/H, emi	daky, emi	deky, emi	bäj, wi-bäj	adə	bɨj	p̃ap̃a
103	МАТЬ	нана	ана	ана	ана	babá	ila/HL, baba/H		ila/HL, baba/H	ila/HL, bab/H	íla/HL, bábu/HL	ila	išu/HL, baba/H	enju, eni	ijo	ijö/L	ijo	iju	ninu, baba	bábaj, zázaj	éjt̄ur, buwá	dadáj/H	dadá	NA	baw, buwaj	baw	bab	NA	jaʔ	nin, nénej	jedy/H	NA	jedy	däj, wi-däj	dide	dädä́	na:
